query_id,query_text,num_predicted,num_relevant,ndcg,ndcg@5,ndcg@10,recall
TRAIN_001,"need a pick me up, something like just black coffee that's need the caffeine and under 45 grams of sugar",5,4,0.7025531747469493,0.7025531747469493,0.7025531747469493,1.0
TRAIN_002,May I get a chai or tea that's no regular milk and under 250 cal?,15,15,0.7832045155993156,0.9355627824996994,0.8838388994985813,1.0
TRAIN_003,hit me with basic brewed coffee that's under 45 grams of sugar and cheaper than $5.0,5,5,0.8111161075879897,0.8111161075879897,0.8111161075879897,1.0
TRAIN_004,i want some tea that's less than 200 calories and max 30g sugar,15,15,0.7258237851437731,0.9480469535917826,0.878594212556697,1.0
TRAIN_005,could i get a cold brew that's under 100 cal and vegan friendly please?,5,5,0.995733637939842,0.995733637939842,0.995733637939842,1.0
TRAIN_006,running late but i need a cappuccino or latte that's cold and without milk,8,8,0.7253211392998299,0.9356643865866562,0.7253211392998299,1.0
TRAIN_007,May I get drip coffee that's strong and less than $5.5?,4,4,0.8087645350370528,0.8087645350370528,0.8087645350370528,1.0
TRAIN_008,May I get a latte that's less than $4.0 and steaming?,3,3,0.8675034925694373,0.8675034925694373,0.8675034925694373,1.0
TRAIN_009,I'm looking for herbal tea that's cheaper than $4.0 and no dairy,10,10,0.83904653596291,0.9351125863638808,0.83904653596291,1.0
TRAIN_010,give me a plain coffee that's max $4.5 and without milk,4,4,0.8854504001098568,0.8854504001098568,0.8854504001098568,1.0
TRAIN_011,i want an americano or latte that's less than 100 calories and fully vegan,8,8,0.8181520973732944,0.8904680881988627,0.8181520973732944,1.0
TRAIN_012,I'm looking for espresso something that's non-dairy and max $4.5,5,5,0.9542080637541477,0.9542080637541477,0.9542080637541477,1.0
TRAIN_013,lemme get a cappuccino or latte that's 20g sugar or less and under $4.0,3,3,0.9725044904464194,0.9725044904464194,0.9725044904464194,1.0
TRAIN_014,I'll take some cold brew that's no more than $5.0 and under 30g sugar,4,4,0.949604428345699,0.949604428345699,0.949604428345699,1.0
TRAIN_015,"it's hot out, i need some tea that's medium caffeine and under $5.0",8,2,0.4811114797666135,0.0,0.4811114797666135,0.5
TRAIN_016,do you have a refresher that's max $6.5 and max 30g sugar?,6,6,0.942920208754247,0.9561477088560264,0.942920208754247,1.0
